0.23	0.49	-0.63	28.48	-14.49	29.53
0.46	0.28	-0.71	28.54	-14.49	29.90
0.59	0.21	-1.00	28.60	-14.47	30.26
0.49	0.21	-1.68	28.70	-14.40	30.93
0.54	0.74	-1.89	28.82	-14.27	32.15
0.51	1.28	-1.83	28.88	-14.16	33.21
0.29	2.21	-1.53	29.02	-13.83	35.21
-0.06	1.91	-1.82	29.39	-13.23	37.20
0.02	1.68	-2.23	30.05	-12.47	38.81
0.35	2.34	-2.32	30.84	-11.87	39.99
0.33	3.38	-2.10	31.61	-11.44	41.18
0.16	3.44	-2.71	32.60	-10.84	43.07
-0.16	3.54	-3.43	33.63	-10.05	45.41
0.11	3.75	-3.45	35.24	-8.84	49.00
0.29	4.37	-3.20	37.34	-7.43	53.10
0.14	4.73	-2.61	39.99	-5.86	57.39
-0.79	4.68	-3.14	42.35	-4.61	60.71
-1.20	4.40	-3.84	45.03	-3.31	64.22
-1.43	4.56	-4.09	48.94	-1.78	69.26
-2.41	5.05	-4.16	53.38	-0.56	75.16
-3.05	5.48	-4.39	58.33	0.43	81.15
-3.87	5.36	-4.92	63.09	0.96	86.00
-5.36	6.33	-4.44	68.60	1.06	90.26
-6.41	5.67	-2.89	74.98	0.59	93.84
-6.62	3.86	-1.38	79.85	-0.15	95.63
-7.63	2.51	-1.36	87.35	-1.92	97.28
-8.74	1.18	-1.08	94.20	-4.06	98.07
-8.54	0.55	0.77	102.35	-6.94	98.32
-8.34	-0.97	2.23	108.50	-9.15	97.90
-8.43	-2.14	2.04	119.90	-12.89	95.43
-7.98	-3.86	0.65	126.34	-14.63	93.40
-8.71	-3.46	-0.57	144.54	-18.14	85.96
-8.28	-2.06	0.77	152.51	-19.20	82.23
-7.75	-2.86	2.71	157.52	-19.89	79.44
-6.02	-3.56	4.14	161.18	-20.34	76.79
-4.46	-4.68	4.20	163.50	-20.53	74.39
-3.07	-2.92	2.81	164.57	-20.36	72.74
-2.39	-1.57	2.11	164.58	-20.14	72.82
-1.71	-0.95	1.68	164.27	-20.03	73.20
-0.95	-0.55	1.34	163.58	-19.94	73.65
-0.56	-0.28	1.00	162.51	-19.79	74.09
-0.30	-0.07	0.62	161.28	-19.57	74.58
-0.40	0.61	-0.20	160.45	-19.41	74.99
-0.43	0.72	-0.44	159.18	-19.16	75.70
-0.48	0.39	-0.18	157.40	-18.90	76.74
-0.52	0.07	0.20	156.31	-18.79	77.37
-0.97	0.04	0.30	154.76	-18.71	78.26
-1.04	-0.12	0.30	153.48	-18.65	78.86
-1.52	0.06	-0.14	152.38	-18.46	79.00
-1.79	0.05	-0.25	151.40	-18.04	78.65
-1.90	-1.18	0.18	150.47	-17.50	78.00
-1.84	-1.67	0.44	148.63	-16.40	76.47
-1.98	-1.53	0.03	147.39	-15.65	75.63
-2.30	0.10	-0.99	145.63	-14.59	74.82
-2.23	0.40	-1.33	143.23	-13.26	74.20
-2.27	1.17	-1.97	142.52	-12.90	73.95
-1.90	1.54	-2.22	140.60	-11.99	72.92
-1.25	-0.52	-1.23	137.92	-10.77	70.49
