-0.70	-0.23	0.05	42.26	-54.59	28.02
-0.67	-0.14	0.09	42.38	-54.64	27.96
-0.74	-0.26	0.05	42.62	-54.71	27.81
-0.63	-0.21	0.05	42.73	-54.72	27.74
-0.54	-0.17	0.15	42.84	-54.72	27.68
-0.46	-0.16	0.11	43.04	-54.71	27.56
-0.43	-0.16	0.02	43.17	-54.67	27.47
-0.42	-0.15	0.05	43.21	-54.65	27.44
-0.30	0.00	0.11	43.33	-54.57	27.35
-0.27	-0.00	0.10	43.45	-54.49	27.29
-0.11	0.02	0.15	43.57	-54.37	27.25
-0.10	0.06	0.18	43.66	-54.27	27.22
-0.00	-0.13	0.15	43.80	-54.13	27.15
0.04	-0.13	0.21	43.98	-53.97	27.05
0.02	-0.20	0.12	44.09	-53.89	26.97
-0.14	-0.22	0.30	44.24	-53.83	26.80
0.08	-0.38	0.62	44.33	-53.86	26.60
0.42	0.15	0.66	44.28	-54.12	26.44
0.32	-0.05	-0.07	44.17	-54.46	26.38
0.07	-0.29	-0.18	44.14	-54.77	26.24
0.41	0.44	-0.78	44.20	-54.92	26.09
0.21	-0.01	-0.25	44.54	-54.83	25.93
-0.11	-0.04	-0.41	44.99	-54.61	25.66
-0.12	-0.07	-0.31	45.47	-54.33	25.40
-0.14	0.05	-0.30	45.91	-54.11	25.14
0.10	0.23	0.18	46.25	-53.96	25.01
0.14	0.23	0.22	46.67	-53.83	24.98
0.38	0.25	0.14	46.81	-53.80	25.05
0.39	0.07	0.13	47.08	-53.71	25.22
0.27	-0.07	-0.02	47.36	-53.52	25.36
0.03	-0.13	-0.07	47.59	-53.22	25.52
0.01	-0.13	-0.26	47.76	-52.96	25.67
-0.00	-0.07	-0.13	47.95	-52.73	25.80
0.07	-0.20	-0.11	48.16	-52.51	25.86
0.04	-0.21	-0.02	48.37	-52.31	25.87
0.10	-0.14	-0.23	48.53	-52.15	25.87
0.01	0.04	-0.21	48.68	-51.97	25.87
-0.05	-0.02	-0.19	48.82	-51.80	25.87
-0.05	0.09	-0.01	48.88	-51.65	25.90
0.01	0.22	-0.13	48.89	-51.55	25.97
-0.02	0.21	-0.10	48.83	-51.42	26.12
0.03	0.23	-0.15	48.80	-51.36	26.19
0.04	0.25	-0.15	48.73	-51.26	26.31
0.01	0.17	-0.01	48.70	-51.15	26.41
0.05	0.08	0.02	48.69	-51.05	26.47
0.10	-0.08	0.01	48.70	-50.97	26.49
0.15	-0.19	0.13	48.71	-50.91	26.49
0.03	-0.31	0.00	48.72	-50.87	26.47
0.04	-0.23	-0.08	48.69	-50.82	26.45
0.05	-0.34	-0.05	48.68	-50.79	26.42
0.09	-0.23	-0.16	48.59	-50.74	26.37
0.05	-0.19	-0.24	48.41	-50.71	26.39
0.13	-0.13	-0.24	48.20	-50.70	26.45
0.13	-0.10	-0.20	47.96	-50.70	26.52
0.20	-0.03	-0.34	47.60	-50.70	26.63
0.20	-0.04	-0.19	47.24	-50.72	26.74
0.19	0.03	-0.17	46.95	-50.74	26.82
0.21	0.11	-0.27	46.55	-50.81	26.93
0.36	0.07	-0.29	46.13	-50.95	27.03
