0.57	0.08	-0.51	-1.58	-2.98	24.36
0.56	0.16	-0.56	-1.38	-2.68	24.20
0.61	0.43	-0.37	-1.22	-2.49	24.10
0.64	0.75	-0.35	-0.91	-2.25	23.94
0.59	1.03	-0.44	-0.53	-2.00	23.77
0.51	1.10	-0.49	-0.21	-1.80	23.60
0.46	1.20	-0.43	0.22	-1.57	23.35
0.48	1.41	-0.40	0.35	-1.51	23.29
0.24	1.69	-0.49	0.77	-1.34	23.09
0.27	1.79	-0.55	1.62	-1.11	22.84
0.16	1.99	-0.48	2.39	-0.99	22.70
0.13	2.07	-0.39	2.60	-0.96	22.67
0.01	2.10	-0.49	3.36	-0.92	22.57
-0.11	1.92	-0.53	5.01	-0.91	22.38
-0.23	1.71	-0.42	6.12	-0.95	22.29
-0.27	1.24	-0.35	7.52	-1.02	22.24
-0.24	0.74	-0.22	9.42	-1.18	22.34
-0.37	0.23	-0.07	10.85	-1.37	22.55
-0.55	-0.02	-0.06	13.28	-1.58	22.70
-0.93	-0.09	0.02	14.85	-1.70	22.73
-1.16	-0.25	0.02	16.85	-1.89	22.71
-1.27	0.04	-0.25	18.74	-2.17	22.73
-1.37	0.18	-0.12	20.56	-2.55	22.85
-1.41	-0.22	0.05	22.21	-2.94	23.00
-1.44	-0.09	-0.12	24.38	-3.39	23.18
-1.42	-0.16	-0.31	25.42	-3.56	23.22
-1.44	-0.16	-0.35	26.54	-3.71	23.19
-1.45	-0.18	-0.34	28.02	-3.88	23.07
-1.35	-0.33	-0.17	30.27	-4.07	22.70
-1.49	-0.20	-0.12	32.05	-4.19	22.38
-1.46	-0.20	-0.21	34.63	-4.26	21.97
-1.32	-0.15	0.04	35.87	-4.30	21.77
-1.29	0.06	-0.10	38.14	-4.35	21.44
-1.32	0.46	-0.47	41.15	-4.36	21.05
-1.42	0.52	-0.71	43.01	-4.30	20.77
-1.32	0.03	-0.24	45.66	-4.17	20.33
-1.14	-0.96	0.27	47.77	-4.06	20.06
-1.25	-1.28	0.45	50.27	-3.86	19.85
-1.05	-1.85	0.79	52.15	-3.64	19.68
-1.05	-1.90	1.07	55.03	-3.28	19.40
-1.07	-2.05	1.18	56.92	-3.04	19.23
-1.11	-1.81	1.06	59.01	-2.75	19.05
-1.14	-1.67	0.86	60.12	-2.58	19.05
-1.12	-1.18	0.71	61.24	-2.38	19.11
-1.07	-1.13	0.72	61.90	-2.27	19.26
-0.99	-0.89	0.58	62.17	-2.23	19.40
-0.91	-0.74	0.62	62.34	-2.21	19.54
-0.86	-0.59	0.51	62.40	-2.21	19.59
-0.88	-0.51	0.36	62.46	-2.17	19.62
-0.87	-0.47	0.39	62.52	-2.09	19.60
-0.83	-0.46	0.39	62.54	-2.06	19.56
-0.78	-0.34	0.39	62.55	-2.06	19.55
-0.66	-0.30	0.30	62.56	-2.06	19.52
-0.54	-0.15	0.26	62.56	-2.06	19.51
-0.43	-0.06	0.22	62.54	-2.08	19.47
-0.35	-0.09	0.21	62.50	-2.10	19.44
-0.32	-0.00	0.18	62.46	-2.11	19.40
-0.21	0.04	0.10	62.37	-2.14	19.35
-0.21	0.09	0.02	62.25	-2.20	19.28
-0.11	0.17	-0.02	62.13	-2.28	19.26
-0.04	0.22	-0.03	62.05	-2.36	19.24
-0.05	0.22	-0.11	61.93	-2.46	19.22
-0.02	0.23	-0.03	61.83	-2.54	19.20
0.01	0.19	0.01	61.80	-2.61	19.20
0.15	0.23	0.01	61.80	-2.67	19.18
0.10	0.28	0.16	61.82	-2.76	19.17
0.09	0.28	0.13	61.89	-2.87	19.16
0.03	0.29	0.16	61.95	-2.96	19.14
