-5.55	-0.75	-0.82	179.20	-60.71	-29.89
-6.18	-0.88	-0.46	-179.91	-60.79	-31.39
-6.88	-0.88	0.00	-179.58	-60.53	-32.78
-7.80	-0.37	-0.07	179.49	-59.90	-33.02
-8.95	-0.20	-0.14	176.96	-59.03	-31.60
-10.63	0.03	-0.36	173.35	-58.16	-28.93
-11.58	-0.03	-0.15	168.02	-57.22	-24.64
-12.39	0.69	-0.23	160.25	-56.15	-18.18
-13.42	0.88	-0.36	150.27	-54.72	-9.74
-13.46	1.88	-0.40	138.64	-52.43	0.02
-13.58	2.67	-0.27	126.15	-48.77	10.21
-11.78	5.68	1.45	119.93	-46.31	15.03
-7.62	8.23	2.52	108.08	-40.20	23.32
-2.83	10.04	3.67	97.07	-32.18	28.88
-4.81	9.95	2.12	87.38	-21.84	31.50
-5.47	7.15	1.87	80.57	-11.84	32.99
-9.07	7.86	-1.50	72.19	3.08	35.91
-9.20	6.43	-3.84	64.75	18.92	40.90
-6.22	10.20	-7.35	60.45	30.25	47.76
-4.89	14.88	-8.17	57.45	38.61	58.26
-3.22	16.61	-8.43	53.89	45.43	70.39
-3.30	16.32	-7.78	50.14	51.41	79.87
-4.05	15.32	-8.30	48.28	54.44	84.23
-2.77	12.07	-6.27	45.18	56.99	87.64
-2.40	10.47	-5.00	41.11	57.44	87.54
-0.74	7.09	-2.96	38.33	56.77	86.52
-0.34	4.78	-2.21	35.47	54.39	85.64
0.20	3.00	-1.57	35.08	52.18	86.16
0.46	2.14	-0.97	35.62	50.29	87.17
0.67	1.06	-0.11	36.66	47.85	88.61
0.97	0.45	0.09	37.73	44.70	89.82
1.52	-0.04	0.40	38.42	41.72	90.37
1.86	-1.47	0.48	38.76	39.93	90.55
2.25	-1.74	0.34	39.32	37.24	90.94
2.42	-1.90	0.52	39.81	35.39	91.63
2.14	-2.12	0.70	40.37	33.95	92.68
2.13	-2.00	0.85	40.87	32.87	93.81
1.98	-2.12	0.92	41.17	32.27	94.60
1.94	-2.34	1.02	41.49	31.50	95.69
1.77	-2.44	1.09	41.57	31.29	96.03
1.60	-2.86	1.31	41.70	30.80	96.74
1.26	-3.36	1.35	41.76	30.35	97.39
0.89	-3.17	1.14	41.70	29.90	98.27
0.81	-2.58	0.94	41.54	29.83	99.51
0.56	-2.13	0.90	41.34	30.23	101.01
0.42	-1.92	0.71	41.23	30.71	102.11
0.18	-1.96	0.73	41.16	31.53	103.66
-0.11	-1.59	0.68	41.29	32.55	105.61
-0.03	-0.46	0.56	41.49	33.35	107.30
-0.31	0.47	0.35	41.90	34.81	110.70
-0.46	1.32	0.15	42.17	35.74	112.78
0.15	1.21	0.36	42.56	37.10	115.43
0.20	1.12	0.33	43.15	38.55	118.13
0.17	1.36	0.08	43.36	38.95	119.09
0.18	1.40	-0.20	43.72	39.38	120.49
0.20	1.45	-0.20	43.92	39.62	121.39
0.32	1.33	-0.25	44.05	39.80	122.12
0.43	1.29	-0.40	44.11	39.96	122.78
0.70	0.93	-0.63	44.00	40.30	123.85
0.69	1.03	-0.67	43.86	40.55	124.78
0.68	1.06	-0.78	43.78	40.67	126.10
0.70	1.07	-0.81	43.80	40.53	127.44
0.90	1.02	-0.62	43.85	40.46	127.84
0.93	0.56	-0.42	43.88	40.29	128.41
1.04	0.13	-0.09	43.94	39.79	129.48
1.03	-0.57	0.16	43.98	39.32	130.20
1.15	-0.67	0.34	44.04	38.59	131.35
1.30	-0.74	0.32	43.98	38.15	132.36
1.41	-0.71	0.25	43.93	37.97	132.88
1.32	-0.62	0.36	43.90	37.80	133.51
1.30	-0.61	0.12	43.81	37.63	134.13
0.96	-0.50	-0.14	43.69	37.36	135.36
1.02	-0.01	-0.14	43.81	37.11	137.04
1.35	0.12	0.32	43.96	37.04	137.88
1.31	0.34	0.76	44.18	37.04	138.93
