-1.51	-0.52	0.17	159.38	-39.41	1.94
-2.27	-0.86	-0.14	158.97	-39.53	1.95
-3.20	-1.02	-0.28	158.55	-39.57	1.96
-4.37	-1.36	-0.70	157.94	-39.59	2.04
-5.20	-1.55	-1.12	157.01	-39.59	2.38
-5.63	-1.50	-1.47	155.70	-39.53	3.19
-6.30	-0.98	-1.71	154.04	-39.39	4.43
-6.88	-0.85	-1.96	151.87	-39.01	6.10
-7.40	-0.90	-2.40	149.51	-38.45	7.84
-8.19	-0.78	-2.58	146.54	-37.58	10.02
-8.58	-0.98	-2.82	142.95	-36.39	12.69
-9.14	-0.30	-3.44	139.25	-35.01	15.62
-8.45	1.36	-3.32	134.43	-32.93	19.77
-8.56	1.54	-3.53	127.72	-29.39	25.94
-7.91	0.17	-4.16	123.94	-26.98	29.10
-7.94	-1.39	-4.75	115.87	-20.12	35.10
-8.03	1.70	-3.17	112.92	-17.24	36.86
-8.45	8.82	-0.85	106.31	-10.14	40.26
-5.82	10.86	1.23	101.71	-4.92	41.65
-5.23	5.95	1.95	95.43	3.38	40.63
-5.61	7.14	4.93	88.93	12.61	37.00
-4.04	10.52	6.15	84.08	19.96	32.97
-2.79	14.54	5.73	78.64	27.33	30.28
-1.32	16.34	5.37	74.40	31.82	30.75
-0.34	15.78	4.99	72.43	33.69	30.98
1.02	9.48	5.18	70.42	35.58	30.78
2.26	8.39	5.55	66.24	39.02	27.77
2.80	5.81	4.14	65.08	39.64	26.62
2.66	5.13	3.13	64.04	39.86	26.68
2.66	4.21	2.44	63.21	39.83	27.28
2.58	3.48	2.01	62.43	39.44	28.25
2.35	2.61	1.67	61.64	38.75	29.17
1.95	1.89	1.20	61.04	37.94	29.79
1.50	1.41	0.78	60.48	36.96	30.51
1.11	1.00	0.51	59.89	35.80	31.44
0.64	0.47	0.54	59.31	34.59	32.38
0.34	0.26	0.63	58.87	33.49	33.14
0.34	0.26	0.82	58.59	32.48	33.79
0.28	0.11	0.71	58.28	30.94	34.74
0.24	0.07	0.69	58.12	29.77	35.45
-0.14	0.02	0.48	58.10	28.97	35.91
-0.29	-0.15	0.35	58.18	28.25	36.29
-0.28	-0.27	0.34	58.27	27.82	36.49
-0.11	-0.22	0.30	58.40	27.38	36.65
0.02	-0.16	0.21	58.82	26.49	36.92
0.06	-0.39	0.12	59.26	25.76	37.06
0.23	-0.05	0.16	59.85	25.04	37.10
0.13	-0.11	-0.14	60.42	24.48	37.08
0.35	0.09	-0.11	60.91	24.09	36.99
0.65	0.20	0.09	61.62	23.52	36.74
0.60	0.29	0.08	62.18	23.06	36.47
0.55	0.39	0.04	62.81	22.55	36.23
0.58	0.39	-0.04	63.30	22.21	36.12
0.53	0.71	-0.04	63.94	21.76	35.98
0.53	0.75	0.10	64.74	21.13	35.89
0.52	0.84	0.25	65.01	20.90	35.86
