-0.19	0.04	0.47	80.20	-4.20	11.59
-0.24	-0.13	0.43	80.29	-3.81	11.59
-0.08	-0.22	0.35	80.42	-3.30	11.68
-0.03	-0.26	0.27	80.52	-3.04	11.79
0.15	-0.29	0.16	80.58	-2.94	11.85
0.29	-0.22	0.05	80.70	-2.80	11.95
0.11	-0.22	0.05	80.83	-2.68	12.03
0.19	-0.29	0.13	81.00	-2.61	11.97
0.37	-0.21	0.20	81.13	-2.69	11.93
0.54	-0.14	0.13	81.18	-2.77	11.93
0.54	-0.07	0.09	81.18	-2.84	11.98
0.77	0.07	0.05	81.17	-2.84	12.00
0.57	0.00	-0.11	81.13	-2.83	12.03
0.50	-0.02	0.04	81.09	-2.79	11.95
0.46	-0.27	0.20	81.08	-2.77	11.90
0.39	0.09	0.34	81.03	-2.75	11.78
0.34	0.02	0.30	80.97	-2.81	11.74
0.26	0.41	0.23	80.96	-2.94	11.67
-0.79	-0.15	-0.20	80.95	-3.15	11.61
0.91	0.18	0.23	80.96	-3.23	11.61
0.38	0.23	-0.08	81.10	-3.29	11.76
0.47	0.06	0.08	81.19	-3.23	11.89
0.32	-0.15	-0.04	81.22	-3.19	11.97
0.16	-0.04	0.00	81.18	-3.20	12.04
0.27	-0.10	0.27	81.14	-3.28	12.13
0.50	0.03	0.52	81.06	-3.54	12.29
0.49	0.23	0.26	80.99	-3.81	12.45
0.11	-0.06	0.26	80.89	-3.94	12.59
-0.04	-0.10	0.14	80.80	-3.90	12.62
-0.00	-0.17	0.13	80.75	-3.88	12.62
-0.04	-0.13	0.06	80.65	-3.89	12.65
0.07	-0.32	0.06	80.60	-3.91	12.63
0.13	-0.25	-0.02	80.52	-3.96	12.63
0.36	-0.10	-0.09	80.47	-4.01	12.63
0.35	0.06	-0.09	80.41	-4.06	12.64
0.37	0.21	-0.01	80.32	-4.10	12.65
0.33	0.36	0.07	80.20	-4.14	12.67
0.02	0.54	0.30	79.94	-4.14	12.72
-0.11	0.42	0.36	79.57	-4.03	12.79
-0.43	-0.09	0.13	79.24	-3.87	12.82
-0.60	-0.44	0.06	78.82	-3.51	12.83
-0.49	-0.35	-0.02	78.49	-3.19	12.91
-0.10	-0.16	-0.12	78.31	-3.05	13.11
0.12	-0.13	-0.15	78.15	-3.00	13.46
-0.01	-0.09	-0.09	78.03	-3.08	13.83
-0.10	0.04	0.14	77.96	-3.17	14.00
-0.20	-0.09	0.22	77.82	-3.30	14.17
-0.36	-0.21	0.26	77.67	-3.37	14.23
-0.59	-0.27	0.11	77.42	-3.39	14.31
-0.59	-0.25	0.04	77.31	-3.39	14.37
-0.55	-0.03	-0.15	77.17	-3.39	14.45
-0.58	0.20	-0.22	76.94	-3.45	14.64
-0.54	-0.02	-0.13	76.70	-3.58	14.83
-0.41	-0.00	-0.05	76.43	-3.82	15.02
-0.30	0.00	0.12	76.28	-4.01	15.17
-0.24	0.07	0.17	76.12	-4.23	15.39
-0.30	0.12	0.29	76.02	-4.36	15.63
-0.37	0.18	0.30	75.95	-4.40	15.80
-0.36	0.08	0.34	75.92	-4.37	15.89
-0.30	0.00	0.34	75.90	-4.29	15.97
-0.20	-0.04	0.37	75.95	-4.18	15.97
-0.20	0.15	0.33	75.99	-4.12	15.96
-0.13	0.21	0.36	76.06	-4.04	15.95
