-0.92	-0.31	0.59	78.22	-57.78	43.67
-0.92	-0.30	0.39	79.66	-59.17	42.40
-1.06	-0.37	0.06	81.04	-60.64	41.26
-1.00	-0.57	-0.17	82.05	-61.78	40.42
-1.03	-0.96	-0.00	83.37	-63.30	39.24
-1.06	-0.94	0.01	84.60	-64.70	38.17
-1.13	-0.78	0.06	85.40	-65.64	37.57
-1.23	-0.89	0.13	86.49	-67.07	36.89
-1.25	-0.83	0.22	87.31	-68.07	36.37
-1.18	-0.85	0.05	87.66	-68.53	36.17
-0.84	-0.66	-0.19	87.97	-68.98	36.01
-0.60	-0.80	-0.20	88.24	-69.50	35.86
-0.24	-0.61	-0.23	88.43	-70.04	35.76
-0.43	-0.34	-0.13	88.55	-70.22	35.79
-0.46	-0.10	0.03	88.53	-70.24	36.07
-0.58	0.07	0.55	88.20	-70.19	36.79
-0.66	-0.04	1.04	87.61	-70.18	37.78
-0.37	0.53	0.42	86.57	-70.50	39.07
-0.27	-0.20	0.41	85.13	-71.07	40.47
-1.38	0.20	0.01	82.47	-71.86	42.84
-0.02	0.49	1.27	78.08	-72.49	47.03
-0.06	0.66	0.65	74.91	-72.82	49.84
-0.47	0.15	0.42	73.43	-72.92	51.21
-0.45	-0.52	0.36	73.27	-72.97	51.22
-0.51	-0.62	0.42	73.42	-73.02	50.77
-0.46	-0.51	0.52	73.72	-72.88	50.29
-0.33	0.27	0.40	73.99	-72.69	49.96
0.21	0.53	0.03	74.20	-72.49	49.72
0.32	0.46	-0.03	74.95	-72.05	48.95
0.83	-0.02	0.07	76.00	-71.61	47.96
-0.29	0.01	0.68	77.08	-71.13	47.00
-1.00	0.32	0.79	79.19	-69.99	45.27
-0.50	0.54	0.55	80.69	-68.67	44.25
0.03	0.73	0.39	80.69	-67.75	44.55
0.18	0.50	0.29	80.15	-67.25	45.10
0.09	0.43	0.12	79.62	-66.74	45.41
-0.21	0.38	-0.08	79.36	-66.42	45.47
-0.23	0.24	-0.35	78.84	-66.04	45.69
-0.33	0.21	-0.45	77.93	-65.76	46.32
-0.23	0.16	-0.51	76.85	-65.56	47.07
-0.27	0.13	-0.47	75.81	-65.39	47.75
-0.16	0.11	-0.45	75.29	-65.29	48.07
-0.22	0.09	-0.25	74.30	-65.07	48.70
-0.05	0.20	-0.21	73.37	-64.82	49.28
0.13	0.29	-0.09	72.64	-64.58	49.76
0.23	0.20	0.11	71.88	-64.34	50.29
0.20	0.26	0.18	71.08	-64.11	50.79
0.11	0.19	0.18	70.33	-63.91	51.20
0.07	0.12	0.19	69.76	-63.77	51.46
0.11	-0.08	0.20	69.21	-63.69	51.67
0.20	-0.25	0.09	68.60	-63.67	51.84
0.20	-0.25	-0.02	68.16	-63.67	51.97
0.05	-0.26	-0.03	67.61	-63.64	52.01
-0.09	-0.23	0.11	67.28	-63.58	52.00
0.02	-0.13	0.19	66.93	-63.49	52.03
0.34	-0.14	0.20	66.36	-63.43	52.19
0.42	-0.13	0.18	65.62	-63.39	52.44
0.46	-0.14	0.14	64.84	-63.32	52.73
0.59	-0.13	0.10	64.32	-63.25	52.86
0.56	-0.14	0.02	63.51	-63.15	53.06
0.45	-0.09	0.02	63.07	-63.08	53.16
0.50	-0.21	0.06	62.57	-62.99	53.22
0.47	-0.19	0.02	61.98	-62.93	53.33
0.39	-0.32	-0.05	61.26	-62.85	53.48
0.29	-0.37	-0.17	60.61	-62.77	53.62
0.17	-0.41	-0.21	60.16	-62.72	53.69
