-1.41	-0.20	0.66	132.87	-10.12	90.03
-1.75	0.39	0.60	132.71	-10.39	90.79
-2.20	0.86	0.89	132.31	-10.68	91.81
-2.51	0.87	1.12	131.67	-10.84	92.59
-2.68	0.86	1.19	130.79	-10.84	92.97
-2.89	0.82	1.27	129.80	-10.71	93.06
-3.48	1.38	1.59	128.52	-10.46	93.00
-4.12	2.09	1.91	126.72	-10.09	92.77
-4.65	1.37	2.26	124.57	-9.59	92.12
-4.79	1.27	1.84	122.05	-8.92	90.99
-4.79	1.64	1.39	119.56	-8.30	90.03
-5.55	3.08	0.50	116.51	-7.76	89.16
-5.73	4.66	-0.96	113.34	-7.48	88.27
-5.22	5.52	-2.88	109.51	-7.33	86.87
-3.65	4.96	-3.93	104.16	-7.09	84.12
-2.55	4.04	-4.60	98.51	-6.88	80.54
-1.60	1.75	-4.36	92.50	-6.77	76.20
-2.28	0.73	-4.31	82.49	-7.13	68.07
-0.34	1.52	-3.11	73.69	-8.09	61.65
-1.21	2.14	-2.26	65.85	-9.73	56.95
-1.27	1.05	-0.57	56.01	-12.74	51.20
-1.55	1.18	0.13	46.71	-16.64	45.39
-2.50	2.40	-0.72	41.92	-19.12	42.48
-2.74	3.99	-2.59	36.12	-22.50	39.72
-2.88	4.67	-3.83	31.39	-25.43	39.00
-3.14	5.26	-5.20	30.29	-26.12	39.06
-2.61	4.31	-4.79	27.43	-27.95	39.42
-1.50	2.75	-4.19	23.61	-30.58	39.93
-0.92	2.02	-4.01	19.38	-33.52	40.63
-0.88	1.71	-4.78	15.17	-36.38	41.74
-0.70	1.70	-5.11	11.10	-39.08	43.55
-0.35	1.29	-4.62	8.86	-40.57	44.87
0.09	0.81	-3.62	6.64	-42.13	46.33
0.39	0.47	-3.13	4.61	-43.81	47.65
0.27	-0.04	-3.06	3.70	-44.77	48.14
0.16	-0.51	-2.83	3.12	-45.68	48.22
0.41	-0.91	-1.97	2.93	-46.19	48.00
0.53	-0.84	-1.43	2.76	-46.76	47.54
0.57	-0.72	-1.58	2.64	-46.98	47.33
0.34	-0.67	-1.77	2.56	-46.91	47.36
0.27	-0.57	-1.66	2.44	-46.44	47.70
0.24	-0.02	-1.27	2.36	-45.99	48.10
0.25	0.43	-0.97	2.26	-45.47	48.54
0.25	0.65	-0.81	2.15	-44.65	49.15
0.22	0.61	-1.39	2.09	-44.01	49.60
-0.10	0.82	-1.80	2.16	-43.06	50.35
-0.16	0.55	-2.12	2.33	-42.36	51.01
-0.11	0.80	-1.99	2.64	-41.55	51.98
-0.15	0.83	-2.12	3.24	-40.60	53.37
-0.08	0.60	-2.20	3.87	-39.85	54.31
-0.14	0.39	-2.39	4.73	-38.96	55.28
-0.41	0.50	-2.28	6.10	-37.66	56.57
-0.38	0.94	-1.98	8.44	-35.55	58.87
-0.18	1.03	-1.68	10.14	-34.13	60.36
-0.04	0.83	-1.24	12.21	-32.53	61.63
0.11	0.37	-1.20	14.90	-30.59	62.52
-0.32	0.12	-1.66	16.93	-29.19	62.87
-0.66	0.50	-1.56	19.90	-27.16	63.43
-0.39	1.30	-0.39	22.51	-25.45	64.40
-0.24	1.62	0.23	25.72	-23.51	66.07
