0.36	-0.21	-0.03	50.11	-37.68	17.39
-0.11	-0.05	-0.04	50.71	-36.71	17.12
0.18	-0.09	0.16	50.99	-36.21	17.00
0.16	-0.07	0.10	51.55	-35.27	16.73
0.06	-0.13	0.11	52.16	-34.38	16.41
-0.40	0.05	0.36	52.75	-33.51	16.06
-0.34	0.05	0.65	53.18	-32.93	15.74
0.12	0.20	0.76	53.55	-32.77	15.39
0.27	0.39	0.76	54.15	-33.20	14.74
-0.00	0.57	0.92	54.54	-33.84	14.29
-0.23	0.80	0.96	54.85	-35.11	13.69
-0.07	0.81	0.67	55.08	-37.01	12.86
-0.04	0.21	0.48	55.35	-39.16	11.83
0.58	-0.16	0.18	55.90	-42.54	9.98
0.61	-0.96	-0.32	56.28	-44.96	8.76
-0.22	-0.44	-0.70	56.60	-47.34	7.69
-0.19	-0.12	-1.00	56.92	-50.02	6.69
-0.78	-0.16	-0.60	57.35	-52.84	5.71
-0.58	-0.02	-0.60	57.62	-54.27	5.15
-0.43	0.28	-0.58	57.88	-55.58	4.64
-0.66	0.02	-0.18	58.28	-56.95	4.01
-0.68	-0.16	-0.06	59.06	-58.35	2.93
-0.50	0.16	0.41	59.62	-59.05	2.24
0.32	0.13	0.37	60.63	-60.29	1.14
0.15	-0.14	0.55	61.48	-61.49	0.26
0.34	-0.04	0.66	62.35	-62.66	-0.71
-0.34	0.11	0.97	63.16	-63.57	-1.60
-0.39	0.18	1.21	64.16	-64.52	-2.69
1.07	-0.19	0.95	65.84	-66.22	-4.55
1.04	-0.45	0.68	68.21	-68.67	-7.14
0.24	-0.13	0.36	69.77	-70.11	-8.83
-0.22	-0.26	0.58	72.18	-72.07	-11.39
0.42	0.18	0.16	73.93	-73.44	-13.28
0.41	0.24	-0.10	77.12	-75.90	-16.64
0.22	0.18	0.00	79.99	-77.69	-19.58
-0.55	0.04	0.23	81.59	-78.45	-21.23
-0.76	0.45	0.21	84.23	-79.43	-23.92
-0.71	0.25	0.36	87.74	-80.49	-27.44
-0.11	0.15	0.01	90.80	-81.24	-30.51
0.27	-0.12	-0.13	93.20	-81.78	-32.90
0.07	-0.21	-0.05	94.40	-82.07	-34.07
0.07	-0.23	-0.19	94.27	-82.22	-33.87
0.06	-0.31	-0.13	93.74	-82.23	-33.30
0.03	-0.34	-0.02	93.38	-82.22	-32.93
0.23	-0.18	0.10	91.28	-82.03	-30.69
-0.18	-0.09	0.66	88.36	-81.54	-27.57
0.23	-0.16	0.71	85.78	-81.00	-24.80
0.43	0.11	0.62	83.45	-80.46	-22.25
0.43	-0.03	0.53	81.23	-79.97	-19.79
0.48	-0.03	0.46	80.79	-79.85	-19.30
0.34	-0.02	0.54	79.94	-79.60	-18.36
0.46	-0.07	0.60	78.80	-79.24	-17.10
0.43	-0.06	0.54	77.97	-79.00	-16.19
0.43	0.00	0.51	77.08	-78.81	-15.22
0.24	0.05	0.37	76.21	-78.67	-14.29
0.13	0.08	0.35	75.39	-78.56	-13.45
0.01	0.15	0.38	75.07	-78.50	-13.15
-0.02	0.25	0.27	74.68	-78.41	-12.79
0.03	0.09	0.25	74.47	-78.35	-12.60
0.03	0.13	0.20	74.28	-78.21	-12.45
-0.20	0.29	0.07	74.17	-78.11	-12.35
-0.16	0.20	0.25	74.01	-77.96	-12.19
0.16	0.20	0.21	73.74	-77.73	-11.94
0.28	0.16	0.30	73.45	-77.54	-11.65
0.33	0.13	0.30	73.20	-77.39	-11.41
0.33	0.16	0.21	73.05	-77.19	-11.25
0.34	0.13	0.28	73.02	-76.98	-11.21
0.39	0.09	0.29	73.05	-76.86	-11.24
0.42	0.02	0.30	73.10	-76.75	-11.29
0.30	0.09	0.26	73.05	-76.67	-11.25
0.31	0.09	0.18	73.01	-76.64	-11.21
